Year,Month,Number_Samples,Calanus_finmarchicus,Calanus_helgolandicus,Temora_longicornis
1958,1,28,6.392857143,0.357142857,5.357142857
1958,2,19,1.526315789,0.263157895,0
1958,3,33,4.666666667,0.696969697,3.03030303
1958,4,29,76.86206897,2.172413793,0
1958,5,40,48.475,1.45,100
1958,6,36,80.05555556,1.916666667,180.5555556
1958,7,20,5.65,2.45,137.5
1958,8,41,25.6097561,0.512195122,91.46341463
1958,9,43,13.11627907,0.395348837,26.74418605
1958,10,18,11.5,0.944444444,13.88888889
1958,11,36,3.777777778,0.861111111,2.777777778
1958,12,32,4.46875,0.0625,3.125
1959,1,27,3.259259259,0.148148148,1.851851852
1959,2,18,2.055555556,0.222222222,0
1959,3,37,1.324324324,0.081081081,0
1959,4,32,31.09375,3.71875,43.75
1959,5,31,21.64516129,2.193548387,216.1290323
1959,6,41,32.48780488,8.682926829,275.6097561
1959,7,30,24.53333333,4.6,76.66666667
1959,8,37,19.05405405,10.45945946,289.1891892
1959,9,43,15.55813953,12.06976744,59.30232558
1959,10,38,6.210526316,2.815789474,9.210526316
1959,11,29,6.344827586,2.482758621,0
1959,12,21,0.523809524,1.952380952,4.761904762
1960,1,28,2.428571429,0.321428571,5.357142857
1960,2,26,2.5,0.615384615,0
1960,3,38,1.368421053,0.5,1.315789474
1960,4,27,23.66666667,3.814814815,7.407407407
1960,5,36,114.25,8.944444444,16.66666667
1960,6,30,37.63333333,14.2,31.66666667
1960,7,42,60.23809524,5.261904762,248.8095238
1960,8,35,15.51428571,8.8,102.8571429
1960,9,39,15.76923077,10.12820513,129.4871795
1960,10,32,10.59375,9.28125,18.75
1960,11,47,13.68085106,7.957446809,2.127659574
1960,12,22,2.181818182,1.272727273,0
1961,1,24,4.791666667,1.291666667,0
1961,2,31,0.903225806,0.483870968,0
1961,3,29,0.862068966,0.034482759,0
1961,4,10,21.3,2.1,0
1961,5,22,58.18181818,5,11.36363636
1961,6,37,33.89189189,4.162162162,5.405405405
1961,7,37,18.94594595,3.162162162,13.51351351
1961,8,27,16.62962963,7.407407407,81.48148148
1961,9,31,11.16129032,4.806451613,43.5483871
1961,10,38,7.605263158,2.236842105,14.47368421
1961,11,38,5.578947368,1.263157895,2.631578947
1961,12,28,4.142857143,0.571428571,1.785714286
1962,1,32,2.4375,0.15625,0
1962,2,21,0.333333333,0,0
1962,3,27,0.333333333,0,1.851851852
1962,4,29,36.82758621,0.034482759,1.724137931
1962,5,33,27.03030303,0.090909091,12.12121212
1962,6,38,8.631578947,0.184210526,214.4736842
1962,7,36,27.19444444,0.361111111,76.38888889
1962,8,38,17.81578947,0.921052632,301.3157895
1962,9,37,29.59459459,1.27027027,116.2162162
1962,10,42,6.619047619,0.952380952,20.23809524
1962,11,35,7.857142857,0.571428571,0
1962,12,33,7.121212121,0.333333333,0
1963,1,41,2.780487805,0.048780488,1.219512195
1963,2,31,1.774193548,0.483870968,1.612903226
1963,3,37,1.702702703,0.108108108,0
1963,4,36,30.44444444,0.194444444,1.388888889
1963,5,27,57.44444444,0.962962963,18.51851852
