method,ref_year,ref_month,yearmonth,hexade,landings,series
SINA,1999,0,1999,1999-2010,0.0357805779,Fourier 1st order
SINC,1999,0,1999,1999-2010,0.3320948129,Fourier 3rd order
OBSE,1999,0,1999,1999-2010,0.1311115385,Observations
SINA,1999,1,1999.0833333,1999-2010,0.1219461774,Fourier 1st order
SINC,1999,1,1999.0833333,1999-2010,0.1672676898,Fourier 3rd order
OBSE,1999,1,1999.0833333,1999-2010,0.2911546667,Observations
SINA,1999,2,1999.1666667,1999-2010,0.6288414073,Fourier 1st order
SINC,1999,2,1999.1666667,1999-2010,0.1658316736,Fourier 3rd order
OBSE,1999,2,1999.1666667,1999-2010,0.081846,Observations
SINA,1999,3,1999.25,1999-2010,3.1614507135,Fourier 1st order
SINC,1999,3,1999.25,1999-2010,1.7156203019,Fourier 3rd order
OBSE,1999,3,1999.25,1999-2010,1.4694409091,Observations
SINA,1999,4,1999.3333333,1999-2010,10.052617141,Fourier 1st order
SINC,1999,4,1999.3333333,1999-2010,12.894933056,Fourier 3rd order
OBSE,1999,4,1999.3333333,1999-2010,15.169742105,Observations
SINA,1999,5,1999.4166667,1999-2010,14.828717318,Fourier 1st order
SINC,1999,5,1999.4166667,1999-2010,12.064375115,Fourier 3rd order
OBSE,1999,5,1999.4166667,1999-2010,5.9317267857,Observations
SINA,1999,6,1999.5,1999-2010,9.1437295757,Fourier 1st order
SINC,1999,6,1999.5,1999-2010,7.1977426206,Fourier 3rd order
OBSE,1999,6,1999.5,1999-2010,8.4504267442,Observations
SINA,1999,7,1999.5833333,1999-2010,2.6828879349,Fourier 1st order
SINC,1999,7,1999.5833333,1999-2010,4.5029076575,Fourier 3rd order
OBSE,1999,7,1999.5833333,1999-2010,4.9400114286,Observations
SINA,1999,8,1999.6666667,1999-2010,0.5202709685,Fourier 1st order
SINC,1999,8,1999.6666667,1999-2010,0.4278098594,Fourier 3rd order
OBSE,1999,8,1999.6666667,1999-2010,0.141025,Observations
SINA,1999,9,1999.75,1999-2010,0.1034866451,Fourier 1st order
SINC,1999,9,1999.75,1999-2010,0.0123612837,Fourier 3rd order
OBSE,1999,9,1999.75,1999-2010,0.0056944444,Observations
SINA,1999,10,1999.8333333,1999-2010,0.0325455474,Fourier 1st order
SINC,1999,10,1999.8333333,1999-2010,0.0052193806,Fourier 3rd order
OBSE,1999,10,1999.8333333,1999-2010,0.015454023,Observations
SINA,1999,11,1999.9166667,1999-2010,0.0220631307,Fourier 1st order
SINC,1999,11,1999.9166667,1999-2010,0.0592270432,Fourier 3rd order
OBSE,1999,11,1999.9166667,1999-2010,0.0312444444,Observations
SINA,2000,0,2000,1999-2010,0.0323680531,Fourier 1st order
SINC,2000,0,2000,1999-2010,0.1806439414,Fourier 3rd order
OBSE,2000,0,2000,1999-2010,0.0524396552,Observations
SINA,2000,1,2000.0833333,1999-2010,0.0866064425,Fourier 1st order
SINC,2000,1,2000.0833333,1999-2010,0.201853998,Fourier 3rd order
OBSE,2000,1,2000.0833333,1999-2010,0.3124411765,Observations
SINA,2000,2,2000.1666667,1999-2010,0.4100759921,Fourier 1st order
SINC,2000,2,2000.1666667,1999-2010,0.1909603323,Fourier 3rd order
OBSE,2000,2,2000.1666667,1999-2010,0.1937233696,Observations
SINA,2000,3,2000.25,1999-2010,2.2652134553,Fourier 1st order
SINC,2000,3,2000.25,1999-2010,1.2272999306,Fourier 3rd order
OBSE,2000,3,2000.25,1999-2010,0.7524346154,Observations
SINA,2000,4,2000.3333333,1999-2010,9.2342296957,Fourier 1st order
SINC,2000,4,2000.3333333,1999-2010,11.941141044,Fourier 3rd order
OBSE,2000,4,2000.3333333,1999-2010,14.039025373,Observations
SINA,2000,5,2000.4166667,1999-2010,19.063903907,Fourier 1st order
SINC,2000,5,2000.4166667,1999-2010,17.687633951,Fourier 3rd order
OBSE,2000,5,2000.4166667,1999-2010,13.577492647,Observations
SINA,2000,6,2000.5,1999-2010,16.413047863,Fourier 1st order
SINC,2000,6,2000.5,1999-2010,9.0046240512,Fourier 3rd order
OBSE,2000,6,2000.5,1999-2010,10.858564,Observations
SINA,2000,7,2000.5833333,1999-2010,6.1341672729,Fourier 1st order
SINC,2000,7,2000.5833333,1999-2010,6.4194046025,Fourier 3rd order
OBSE,2000,7,2000.5833333,1999-2010,5.9374431373,Observations
SINA,2000,8,2000.6666667,1999-2010,1.2955120887,Fourier 1st order
SINC,2000,8,2000.6666667,1999-2010,1.9125900425,Fourier 3rd order
OBSE,2000,8,2000.6666667,1999-2010,2.1992721591,Observations
SINA,2000,9,2000.75,1999-2010,0.23452907,Fourier 1st order
SINC,2000,9,2000.75,1999-2010,0.1052941324,Fourier 3rd order
OBSE,2000,9,2000.75,1999-2010,0.0008578571,Observations
SINA,2000,10,2000.8333333,1999-2010,0.0575314263,Fourier 1st order
SINC,2000,10,2000.8333333,1999-2010,0.0135851968,Fourier 3rd order
OBSE,2000,10,2000.8333333,1999-2010,0.0339615,Observations
SINA,2000,11,2000.9166667,1999-2010,0.027867241,Fourier 1st order
SINC,2000,11,2000.9166667,1999-2010,0.0325393649,Fourier 3rd order
OBSE,2000,11,2000.9166667,1999-2010,0.0233203252,Observations
SINA,2001,0,2001,1999-2010,0.0387433686,Fourier 1st order
SINC,2001,0,2001,1999-2010,0.0942385415,Fourier 3rd order
OBSE,2001,0,2001,1999-2010,0.0217576923,Observations
SINA,2001,1,2001.0833333,1999-2010,0.1064743037,Fourier 1st order
SINC,2001,1,2001.0833333,1999-2010,0.1047525984,Fourier 3rd order
OBSE,2001,1,2001.0833333,1999-2010,0.1747073171,Observations
SINA,2001,2,2001.1666667,1999-2010,0.5250958822,Fourier 1st order
SINC,2001,2,2001.1666667,1999-2010,0.2377935072,Fourier 3rd order
OBSE,2001,2,2001.1666667,1999-2010,0.2031234568,Observations
SINA,2001,3,2001.25,1999-2010,3.0303421017,Fourier 1st order
SINC,2001,3,2001.25,1999-2010,2.9080658496,Fourier 3rd order
OBSE,2001,3,2001.25,1999-2010,2.5956884615,Observations
SINA,2001,4,2001.3333333,1999-2010,12.794602881,Fourier 1st order
SINC,2001,4,2001.3333333,1999-2010,18.564329871,Fourier 3rd order
OBSE,2001,4,2001.3333333,1999-2010,19.287769318,Observations
SINA,2001,5,2001.4166667,1999-2010,26.867819828,Fourier 1st order
SINC,2001,5,2001.4166667,1999-2010,15.487694873,Fourier 3rd order
OBSE,2001,5,2001.4166667,1999-2010,15.194982353,Observations
SINA,2001,6,2001.5,1999-2010,23.002433003,Fourier 1st order
SINC,2001,6,2001.5,1999-2010,10.834306706,Fourier 3rd order
OBSE,2001,6,2001.5,1999-2010,10.267189655,Observations
SINA,2001,7,2001.5833333,1999-2010,8.3700170718,Fourier 1st order
SINC,2001,7,2001.5833333,1999-2010,14.565740525,Fourier 3rd order
OBSE,2001,7,2001.5833333,1999-2010,14.247713636,Observations
SINA,2001,8,2001.6666667,1999-2010,1.6971981114,Fourier 1st order
SINC,2001,8,2001.6666667,1999-2010,4.207286665,Fourier 3rd order
OBSE,2001,8,2001.6666667,1999-2010,5.3038689655,Observations
SINA,2001,9,2001.75,1999-2010,0.2940894822,Fourier 1st order
SINC,2001,9,2001.75,1999-2010,0.1509506162,Fourier 3rd order
OBSE,2001,9,2001.75,1999-2010,0.0422261905,Observations
SINA,2001,10,2001.8333333,1999-2010,0.0696537241,Fourier 1st order
SINC,2001,10,2001.8333333,1999-2010,0.0158231213,Fourier 3rd order
OBSE,2001,10,2001.8333333,1999-2010,0.0307631944,Observations
SINA,2001,11,2001.9166667,1999-2010,0.0331694847,Fourier 1st order
SINC,2001,11,2001.9166667,1999-2010,0.028925437,Fourier 3rd order
OBSE,2001,11,2001.9166667,1999-2010,0.0381692708,Observations
SINA,2002,0,2002,1999-2010,0.0347547877,Fourier 1st order
SINC,2002,0,2002,1999-2010,0.1747579443,Fourier 3rd order
OBSE,2002,0,2002,1999-2010,0,Observations
SINA,2002,1,2002.0833333,1999-2010,0.1026473245,Fourier 1st order
SINC,2002,1,2002.0833333,1999-2010,0.1273312917,Fourier 3rd order
OBSE,2002,1,2002.0833333,1999-2010,0.1951683673,Observations
SINA,2002,2,2002.1666667,1999-2010,0.4651046689,Fourier 1st order
SINC,2002,2,2002.1666667,1999-2010,0.2036301976,Fourier 3rd order
OBSE,2002,2,2002.1666667,1999-2010,0.2058507463,Observations
SINA,2002,3,2002.25,1999-2010,2.1567249101,Fourier 1st order
SINC,2002,3,2002.25,1999-2010,1.8794125273,Fourier 3rd order
OBSE,2002,3,2002.25,1999-2010,1.3341275641,Observations
SINA,2002,4,2002.3333333,1999-2010,6.7851623437,Fourier 1st order
