ref_year,method,theta_pic,theta_med,theta_deb,theta_fin,theta_grav,theta_deb05,theta_fin95,delta,delta_deb,delta_fin,ratio_deb,ratio_fin,theta_med_,theta_deb_,theta_fin_,delta_,delta_deb_,delta_fin_,ratio_deb_,ratio_fin_,sp_theta_med,sp_theta_deb,sp_theta_fin,sp_delta,sp_delta_deb,sp_delta_fin
1999,SINC,4.3642269251,4.8840812119,4.1427450134,5.8311422378,4.9690852754,3.3730601401,7.189450505,1.6883972244,0.7413361984,0.9470610259,0.4390768877,0.5609231123,5.044517063,4.2785047369,6.1106209464,1.8321162095,0.7660123262,1.0661038833,0.4276362583,0.5723637417,4.9285750263,4.160606718,6.0730386784,1.9387880759,0.824340373,1.1444636521
2000,SINC,4.999999936,5.1170378261,4.3952857078,6.064209901,5.2502533501,3.5328878232,7.5431651355,1.6689241933,0.7217521183,0.9471720749,0.4324654896,0.5675345104,5.044517063,4.2785047369,6.1106209464,1.8321162095,0.7660123262,1.0661038833,0.4276362583,0.5723637417,4.9282139174,4.1566687752,6.0711608804,1.9355443054,0.8156731931,1.142946963
2001,SINC,4.2017662607,5.2614634211,4.2596219377,6.6407872039,5.4351092372,3.3955900828,7.7573596289,2.3811652662,1.0018414835,1.3793237828,0.4207358043,0.5792641957,5.044517063,4.2785047369,6.1106209464,1.8321162095,0.7660123262,1.0661038833,0.4276362583,0.5723637417,4.9278528084,4.1527308323,6.0692830824,1.9323005349,0.8044178423,1.141430274
2002,SINC,4.0965528421,5.0459860451,4.1130895558,6.2890243089,5.1772919049,3.2146733892,7.4407031978,2.1759347531,0.9328964893,1.2430382638,0.4287336686,0.5712663314,5.044517063,4.2785047369,6.1106209464,1.8321162095,0.7660123262,1.0661038833,0.4276362583,0.5723637417,4.9303326833,4.1512837096,6.0690894211,1.9280379878,0.7926551002,1.1387567378
2003,SINC,4,4.5880263417,3.9885092718,5.6124883271,4.9387703319,3.3888674941,7.3558993318,1.6239790554,0.5995170699,1.0244619855,0.3691655184,0.6308344816,5.044517063,4.2785047369,6.1106209464,1.8321162095,0.7660123262,1.0661038833,0.4276362583,0.5723637417,4.9328125581,4.1498365868,6.0688957597,1.9237754408,0.7808923581,1.1360832015
2004,SINC,3.9999999993,4.7066593509,3.9504557454,6.3072516101,5.0682923969,3.2072812132,7.6103370991,2.3567958647,0.7562036055,1.6005922592,0.3208608844,0.6791391156,5.044517063,4.2785047369,6.1106209464,1.8321162095,0.7660123262,1.0661038833,0.4276362583,0.5723637417,4.935292433,4.148389464,6.0687020983,1.9195128937,0.7585042657,1.1334096653
2005,SINC,4.0372617978,5.1390482302,4.2266232323,6.1378026665,5.2460015156,3.5292450969,7.1244133863,1.9111794342,0.9124249979,0.9987544362,0.4774146172,0.5225853828,5.044517063,4.2785047369,6.1106209464,1.8321162095,0.7660123262,1.0661038833,0.4276362583,0.5723637417,4.9383127994,4.1477380617,6.067623548,1.9124164243,0.7359439748,1.1293107486
2006,SINC,4,4.5321044943,3.9334300852,5.5406968173,4.8146916555,3.2982089217,7.1277935642,1.6072667321,0.5986744091,1.008592323,0.3724798113,0.6275201887,5.044517063,4.2785047369,6.1106209464,1.8321162095,0.7660123262,1.0661038833,0.4276362583,0.5723637417,4.9413331658,4.1470866595,6.0665449977,1.9053199549,0.7133836839,1.1252118319
2007,SINC,4.9941511131,4.7473609775,4.2027430101,5.2307110238,4.6964369068,3.429425617,5.8809987981,1.0279680137,0.5446179674,0.4833500463,0.5298004997,0.4701995003,5.044517063,4.2785047369,6.1106209464,1.8321162095,0.7660123262,1.0661038833,0.4276362583,0.5723637417,4.9443535322,4.1464352572,6.0654664474,1.8982234854,0.751933002,1.1211129152
2008,SINC,3.9999999984,4.4221321383,3.7893956177,6.3687074976,5.0867563711,3.0556413826,7.383721373,2.5793118799,0.6327365207,1.9465753592,0.2453121414,0.7546878586,5.044517063,4.2785047369,6.1106209464,1.8321162095,0.7660123262,1.0661038833,0.4276362583,0.5723637417,4.9459772382,4.1581068706,6.0581978872,1.8828041974,0.7848556931,1.112220649
