ref_date,theta1,FORECAST,STD,L95,U95,RESIDUAL,ref_year
14245,4.1427450134,4.156719264,0.264197281,3.6389021085,4.6745364196,-0.013974251,1999
14610,4.3952857078,4.2721091009,0.264197281,3.7542919454,4.7899262565,0.1231766068,2000
14976,4.2596219377,4.2377713607,0.264197281,3.7199542052,4.7555885162,0.0218505769,2001
15341,4.1130895558,4.299109786,0.264197281,3.7812926304,4.8169269415,-0.18602023,2002
15706,3.9885092718,4.0701267927,0.264197281,3.5523096371,4.5879439482,-0.081617521,2003
16071,3.9504557454,4.2004713043,0.264197281,3.6826541487,4.7182884598,-0.250015559,2004
16437,4.2266232323,4.4501771284,0.264197281,3.9323599729,4.9679942839,-0.223553896,2005
16802,3.9334300852,4.1350117125,0.264197281,3.617194557,4.652828868,-0.201581627,2006
17167,4.2027430101,4.0593041729,0.264197281,3.5414870173,4.5771213284,0.1434388372,2007
17532,3.7893956177,4.3216636325,0.264197281,3.8038464769,4.839480788,-0.532268015,2008
17898,4.7586025856,4.2957218468,0.264197281,3.7779046913,4.8135390024,0.4628807388,2009
18263,4.2968234738,4.2619696453,0.264197281,3.7441524898,4.7797868009,0.0348538284,2010
18628,3.8599651485,4.1423946352,0.264197281,3.6245774797,4.6602117908,-0.282429487,2011
18993,3.9153795519,4.2156374998,0.264197281,3.6978203443,4.7334546553,-0.300257948,2012
19359,4.1304874364,4.2129675127,0.264197281,3.6951503572,4.7307846683,-0.082480076,2013
19724,4.5085303672,4.3146377258,0.264197281,3.7968205703,4.8324548813,0.1938926414,2014
20089,4.7067607869,4.1622213405,0.264197281,3.6444041849,4.680038496,0.5445394464,2015
20454,4.3465769595,4.1194815038,0.264197281,3.6016643483,4.6372986594,0.2270954557,2016
20820,4.7202034005,4.5770061885,0.264197281,4.059189033,5.0948233441,0.143197212,2017
21185,4.53637768,4.342220372,0.264197281,3.8244032165,4.8600375276,0.1941573079,2018
21550,4.6102116626,4.7254384288,0.264197281,4.2076212733,5.2432555844,-0.115226766,2019
21915,4.7352859813,4.5549432571,0.264197281,4.0371261016,5.0727604126,0.1803427242,2020
