ref_date,delta,FORECAST,STD,L95,U95,RESIDUAL,ref_year
14245,1.6883972244,,,,,,1999
14610,1.6689241933,1.9777556507,0.3104620745,1.369261166,2.5862501354,-0.308831457,2000
14976,2.3811652662,2.1133521831,0.3104620745,1.5048576984,2.7218466677,0.2678130831,2001
15341,2.1759347531,1.8029896285,0.3104620745,1.1944951439,2.4114841132,0.3729451245,2002
15706,1.6239790554,1.7212735729,0.3104620745,1.1127790882,2.3297680576,-0.097294518,2003
16071,2.3567958647,2.2666202494,0.3104620745,1.6581257648,2.8751147341,0.0901756153,2004
16437,1.9111794342,1.9696859079,0.3104620745,1.3611914232,2.5781803925,-0.058506474,2005
16802,1.6072667321,1.6437490852,0.3104620745,1.0352546005,2.2522435698,-0.036482353,2006
17167,1.0279680137,1.3808234663,0.3104620745,0.7723289816,1.989317951,-0.352855453,2007
17532,2.5793118799,2.172377323,0.3104620745,1.5638828384,2.7808718077,0.4069345569,2008
17898,2.0226958242,2.0122654533,0.3104620745,1.4037709686,2.620759938,0.0104303709,2009
18263,1.7967075776,1.9408856162,0.3104620745,1.3323911316,2.5493801009,-0.144178039,2010
18628,2.6771229659,2.3943292854,0.3104620745,1.7858348007,3.0028237701,0.2827936805,2011
18993,1.695652236,1.484732991,0.3104620745,0.8762385063,2.0932274757,0.210919245,2012
19359,1.6817993541,1.9535146032,0.3104620745,1.3450201186,2.5620090879,-0.271715249,2013
19724,1.5696932559,1.8198835111,0.3104620745,1.2113890265,2.4283779958,-0.250190255,2014
20089,1.7443999774,1.1963834319,0.3104620745,0.5878889472,1.8048779166,0.5480165455,2015
20454,1.1456855158,1.0721920933,0.3104620745,0.4636976086,1.680686578,0.0734934225,2016
20820,1.7834371369,1.7254297215,0.3104620745,1.1169352368,2.3339242062,0.0580074153,2017
21185,0.9788517076,1.6025091168,0.3104620745,0.9940146321,2.2110036014,-0.623657409,2018
21550,2.347188596,2.5080375239,0.3104620745,1.8995430393,3.1165320086,-0.160848928,2019
21915,1.8424000446,1.9617387296,0.3104620745,1.3532442449,2.5702332142,-0.119338685,2020
