ref_year,ref_month,pred_hat,yearmonth,theta_grav
1999,0,0.3320948129,1999,4.9690852754
1999,1,0.1672676898,1999.0833333,4.9690852754
1999,2,0.1658316736,1999.1666667,4.9690852754
1999,3,1.7156203019,1999.25,4.9690852754
1999,4,12.894933056,1999.3333333,4.9690852754
1999,5,12.064375115,1999.4166667,4.9690852754
1999,6,7.1977426206,1999.5,4.9690852754
1999,7,4.5029076575,1999.5833333,4.9690852754
1999,8,0.4278098594,1999.6666667,4.9690852754
1999,9,0.0123612837,1999.75,4.9690852754
1999,10,0.0052193806,1999.8333333,4.9690852754
1999,11,0.0592270432,1999.9166667,4.9690852754
2000,0,0.1806439414,2000,5.2502533501
2000,1,0.201853998,2000.0833333,5.2502533501
2000,2,0.1909603323,2000.1666667,5.2502533501
2000,3,1.2272999306,2000.25,5.2502533501
2000,4,11.941141044,2000.3333333,5.2502533501
2000,5,17.687633951,2000.4166667,5.2502533501
2000,6,9.0046240512,2000.5,5.2502533501
2000,7,6.4194046025,2000.5833333,5.2502533501
2000,8,1.9125900425,2000.6666667,5.2502533501
2000,9,0.1052941324,2000.75,5.2502533501
2000,10,0.0135851968,2000.8333333,5.2502533501
2000,11,0.0325393649,2000.9166667,5.2502533501
2001,0,0.0942385415,2001,5.4351092372
2001,1,0.1047525984,2001.0833333,5.4351092372
2001,2,0.2377935072,2001.1666667,5.4351092372
2001,3,2.9080658496,2001.25,5.4351092372
2001,4,18.564329871,2001.3333333,5.4351092372
2001,5,15.487694873,2001.4166667,5.4351092372
2001,6,10.834306706,2001.5,5.4351092372
2001,7,14.565740525,2001.5833333,5.4351092372
2001,8,4.207286665,2001.6666667,5.4351092372
2001,9,0.1509506162,2001.75,5.4351092372
2001,10,0.0158231213,2001.8333333,5.4351092372
2001,11,0.028925437,2001.9166667,5.4351092372
2002,0,0.1747579443,2002,5.1772919049
2002,1,0.1273312917,2002.0833333,5.1772919049
2002,2,0.2036301976,2002.1666667,5.1772919049
2002,3,1.8794125273,2002.25,5.1772919049
2002,4,8.4046121268,2002.3333333,5.1772919049
2002,5,6.4924618378,2002.4166667,5.1772919049
2002,6,5.3517533684,2002.5,5.1772919049
2002,7,5.1454361573,2002.5833333,5.1772919049
2002,8,0.6369745467,2002.6666667,5.1772919049
2002,9,0.0195040475,2002.75,5.1772919049
2002,10,0.0062259391,2002.8333333,5.1772919049
2002,11,0.0407104793,2002.9166667,5.1772919049
2003,0,0.0434775034,2003,4.9387703319
2003,1,0.023458342,2003.0833333,4.9387703319
2003,2,0.049297393,2003.1666667,4.9387703319
2003,3,1.4585342337,2003.25,4.9387703319
2003,4,16.406727806,2003.3333333,4.9387703319
2003,5,9.3410332943,2003.4166667,4.9387703319
2003,6,3.9259053022,2003.5,4.9387703319
2003,7,4.5104575126,2003.5833333,4.9387703319
2003,8,0.9690310974,2003.6666667,4.9387703319
2003,9,0.023854774,2003.75,4.9387703319
2003,10,0.0034210267,2003.8333333,4.9387703319
2003,11,0.0133088265,2003.9166667,4.9387703319
2004,0,0.0030378272,2004,5.0682923969
2004,1,0.0030264,2004.0833333,5.0682923969
2004,2,0.0394706742,2004.1666667,5.0682923969
2004,3,1.742526473,2004.25,5.0682923969
2004,4,8.2474030384,2004.3333333,5.0682923969
2004,5,3.8779961916,2004.4166667,5.0682923969
2004,6,2.826974404,2004.5,5.0682923969
2004,7,3.8112169588,2004.5833333,5.0682923969
2004,8,0.9513839308,2004.6666667,5.0682923969
2004,9,0.0522379648,2004.75,5.0682923969
2004,10,0.0082175687,2004.8333333,5.0682923969
2004,11,0.0053680041,2004.9166667,5.0682923969
2005,0,0.0000393568,2005,5.2460015156
2005,1,0.0028448176,2005.0833333,5.2460015156
2005,2,0.0165512487,2005.1666667,5.2460015156
2005,3,0.911896974,2005.25,5.2460015156
2005,4,16.597979472,2005.3333333,5.2460015156
2005,5,11.548172799,2005.4166667,5.2460015156
2005,6,13.149440972,2005.5,5.2460015156
2005,7,7.8554258984,2005.5833333,5.2460015156
2005,8,0.0015323543,2005.6666667,5.2460015156
2005,9,7.309925E-10,2005.75,5.2460015156
2005,10,9.300503E-13,2005.8333333,5.2460015156
2005,11,1.1778299E-9,2005.9166667,5.2460015156
2006,0,0.0000347033,2006,4.8146916555
2006,1,0.0002907211,2006.0833333,4.8146916555
2006,2,0.0147619813,2006.1666667,4.8146916555
2006,3,1.2129583725,2006.25,4.8146916555
2006,4,8.6440861763,2006.3333333,4.8146916555
2006,5,4.6073610513,2006.4166667,4.8146916555
2006,6,2.5301217698,2006.5,4.8146916555
2006,7,2.0972951039,2006.5833333,4.8146916555
2006,8,0.212445176,2006.6666667,4.8146916555
2006,9,0.0019150352,2006.75,4.8146916555
2006,10,0.0000386972,2006.8333333,4.8146916555
2006,11,0.0000141153,2006.9166667,4.8146916555
2007,0,0.0020403872,2007,4.6964369068
2007,1,0.0069871793,2007.0833333,4.6964369068
2007,2,0.0686034185,2007.1666667,4.6964369068
2007,3,0.7955276112,2007.25,4.6964369068
2007,4,6.0910243338,2007.3333333,4.6964369068
2007,5,10.52102624,2007.4166667,4.6964369068
2007,6,1.8647769232,2007.5,4.6964369068
2007,7,0.1159466206,2007.5833333,4.6964369068
2007,8,0.0225743076,2007.6666667,4.6964369068
2007,9,0.0174777147,2007.75,4.6964369068
2007,10,0.0107208461,2007.8333333,4.6964369068
2007,11,0.0032468414,2007.9166667,4.6964369068
2008,0,0.0000763749,2008,5.0867563711
2008,1,0.0011364303,2008.0833333,5.0867563711
2008,2,0.0306417802,2008.1666667,5.0867563711
2008,3,1.6449506239,2008.25,5.0867563711
2008,4,6.1062378375,2008.3333333,5.0867563711
2008,5,1.5062381179,2008.4166667,5.0867563711
2008,6,1.3228938434,2008.5,5.0867563711
2008,7,3.2149253811,2008.5833333,5.0867563711
2008,8,0.1275726307,2008.6666667,5.0867563711
2008,9,0.0000703135,2008.75,5.0867563711
2008,10,5.2381744E-7,2008.8333333,5.0867563711
2008,11,1.9847336E-6,2008.9166667,5.0867563711
2009,0,1.103058E-22,2009,5.7254960725
2009,1,3.070701E-13,2009.0833333,5.7254960725
2009,2,0.0001283126,2009.1666667,5.7254960725
2009,3,0.6598717492,2009.25,5.7254960725
2009,4,6.1319951269,2009.3333333,5.7254960725
